station_id,datetime_utc,o3_value,units
5610,2022-07-17T21:30:00Z,0.00762,ppm
5610,2022-07-17T22:30:00Z,0.00774,ppm
5610,2022-07-17T23:30:00Z,0.00727,ppm
5610,2022-07-18T00:30:00Z,0.0088,ppm
5610,2022-07-18T01:30:00Z,0.0125,ppm
5610,2022-07-18T02:30:00Z,0.00891,ppm
5610,2022-07-18T03:30:00Z,0.00781,ppm
5610,2022-07-18T04:30:00Z,0.0078,ppm
5610,2022-07-18T05:30:00Z,0.00749,ppm
5610,2022-07-18T06:30:00Z,0.00783,ppm
5610,2022-07-18T07:30:00Z,0.00767,ppm
5610,2022-07-18T08:30:00Z,0.00692,ppm
5610,2022-07-18T09:30:00Z,0.00792,ppm
5610,2022-07-18T10:30:00Z,0.00917,ppm
5610,2022-07-18T11:30:00Z,0.00731,ppm
5610,2022-07-18T12:30:00Z,0.00824,ppm
5610,2022-07-18T13:30:00Z,0.0129,ppm
5610,2022-07-18T14:30:00Z,0.00746,ppm
5610,2022-07-18T15:30:00Z,0.00775,ppm
5610,2022-07-18T16:30:00Z,0.00844,ppm
5610,2022-07-18T17:30:00Z,0.00738,ppm
5610,2022-07-18T18:30:00Z,0.00768,ppm
5610,2022-07-18T19:30:00Z,0.00815,ppm
5610,2022-07-18T20:30:00Z,0.00267,ppm
5610,2022-07-18T21:30:00Z,0.0134,ppm
5610,2022-07-18T22:30:00Z,0.00792,ppm
5610,2022-07-18T23:30:00Z,0.00785,ppm
5610,2022-07-19T00:30:00Z,0.00725,ppm
5610,2022-07-19T01:30:00Z,0.0111,ppm
5610,2022-07-19T02:30:00Z,0.0075,ppm
5610,2022-07-19T03:30:00Z,0.00786,ppm
5610,2022-07-19T04:30:00Z,0.00752,ppm
5610,2022-07-19T05:30:00Z,0.00868,ppm
5610,2022-07-19T06:30:00Z,0.00835,ppm
5610,2022-07-19T07:30:00Z,0.00801,ppm
5610,2022-07-19T08:30:00Z,0.0,ppm
5610,2022-07-19T09:30:00Z,0.0119,ppm
5610,2022-07-19T10:30:00Z,0.00774,ppm
5610,2022-07-19T11:30:00Z,0.0212,ppm
5610,2022-07-19T12:30:00Z,0.0217,ppm
5610,2022-07-19T13:30:00Z,0.0219,ppm
5610,2022-07-19T14:30:00Z,0.0224,ppm
5610,2022-07-19T15:30:00Z,0.0228,ppm
5610,2022-07-19T16:30:00Z,0.0221,ppm
5610,2022-07-19T17:30:00Z,0.0223,ppm
5610,2022-07-19T18:30:00Z,0.0214,ppm
5610,2022-07-19T19:30:00Z,0.0216,ppm
5610,2022-07-19T20:30:00Z,0.0227,ppm
5610,2022-07-19T21:30:00Z,0.0211,ppm
5610,2022-07-19T22:30:00Z,0.0237,ppm
5610,2022-07-19T23:30:00Z,0.0203,ppm
5610,2022-07-20T00:30:00Z,0.0226,ppm
5610,2022-07-20T01:30:00Z,0.0219,ppm
5610,2022-07-20T02:30:00Z,0.0202,ppm
5610,2022-07-20T03:30:00Z,0.0182,ppm
5610,2022-07-20T04:30:00Z,0.0184,ppm
5610,2022-07-20T05:30:00Z,0.0072,ppm
5610,2022-07-20T06:30:00Z,0.0236,ppm
5610,2022-07-20T07:30:00Z,0.0229,ppm
5610,2022-07-20T08:30:00Z,0.0206,ppm
5610,2022-07-21T03:30:00Z,0.0212,ppm
